2024-05-01 13:30:22,059 ERROR	 :: error from callback <bound method BinanceFuturesClient.on_message of <modules.binance_futures.BinanceFuturesClient object at 0x00000218C864AB80>>: 'dict' object is not callable
2024-05-01 13:30:22,061 ERROR	 :: Binance websocket connection error 'dict' object is not callable
2024-05-01 13:30:23,939 ERROR	 :: error from callback <bound method BinanceFuturesClient.on_message of <modules.binance_futures.BinanceFuturesClient object at 0x00000218C864AB80>>: 'dict' object is not callable
2024-05-01 13:30:23,941 ERROR	 :: Binance websocket connection error 'dict' object is not callable
2024-05-01 13:30:24,473 ERROR	 :: error from callback <bound method BinanceFuturesClient.on_message of <modules.binance_futures.BinanceFuturesClient object at 0x00000218C864AB80>>: 'dict' object is not callable
2024-05-01 13:30:24,474 ERROR	 :: Binance websocket connection error 'dict' object is not callable
2024-05-01 13:30:27,807 ERROR	 :: error from callback <bound method BinanceFuturesClient.on_message of <modules.binance_futures.BinanceFuturesClient object at 0x00000218C864AB80>>: 'dict' object is not callable
2024-05-01 13:30:27,808 ERROR	 :: Binance websocket connection error 'dict' object is not callable
2024-05-01 13:30:28,781 ERROR	 :: error from callback <bound method BinanceFuturesClient.on_message of <modules.binance_futures.BinanceFuturesClient object at 0x00000218C864AB80>>: 'dict' object is not callable
2024-05-01 13:30:28,781 ERROR	 :: Binance websocket connection error 'dict' object is not callable
2024-05-01 13:30:28,944 ERROR	 :: error from callback <bound method BinanceFuturesClient.on_message of <modules.binance_futures.BinanceFuturesClient object at 0x00000218C864AB80>>: 'dict' object is not callable
2024-05-01 13:30:28,945 ERROR	 :: Binance websocket connection error 'dict' object is not callable
2024-05-01 13:30:29,460 ERROR	 :: error from callback <bound method BinanceFuturesClient.on_message of <modules.binance_futures.BinanceFuturesClient object at 0x00000218C864AB80>>: 'dict' object is not callable
2024-05-01 13:30:29,461 ERROR	 :: Binance websocket connection error 'dict' object is not callable
2024-05-01 13:30:29,520 ERROR	 :: error from callback <bound method BinanceFuturesClient.on_message of <modules.binance_futures.BinanceFuturesClient object at 0x00000218C864AB80>>: 'dict' object is not callable
2024-05-01 13:30:29,521 ERROR	 :: Binance websocket connection error 'dict' object is not callable
2024-05-01 13:30:30,076 ERROR	 :: error from callback <bound method BinanceFuturesClient.on_message of <modules.binance_futures.BinanceFuturesClient object at 0x00000218C864AB80>>: 'dict' object is not callable
2024-05-01 13:30:30,076 ERROR	 :: Binance websocket connection error 'dict' object is not callable
2024-05-01 13:30:30,103 ERROR	 :: error from callback <bound method BinanceFuturesClient.on_message of <modules.binance_futures.BinanceFuturesClient object at 0x00000218C864AB80>>: 'dict' object is not callable
2024-05-01 13:30:30,103 ERROR	 :: Binance websocket connection error 'dict' object is not callable
2024-05-01 13:30:31,148 ERROR	 :: error from callback <bound method BinanceFuturesClient.on_message of <modules.binance_futures.BinanceFuturesClient object at 0x00000218C864AB80>>: 'dict' object is not callable
2024-05-01 13:30:31,149 ERROR	 :: Binance websocket connection error 'dict' object is not callable
2024-05-01 13:30:34,745 ERROR	 :: error from callback <bound method BinanceFuturesClient.on_message of <modules.binance_futures.BinanceFuturesClient object at 0x00000218C864AB80>>: 'dict' object is not callable
2024-05-01 13:30:34,745 ERROR	 :: Binance websocket connection error 'dict' object is not callable
2024-05-01 13:30:34,886 ERROR	 :: error from callback <bound method BinanceFuturesClient.on_message of <modules.binance_futures.BinanceFuturesClient object at 0x00000218C864AB80>>: 'dict' object is not callable
2024-05-01 13:30:34,887 ERROR	 :: Binance websocket connection error 'dict' object is not callable
2024-05-01 13:30:34,887 ERROR	 :: error from callback <bound method BinanceFuturesClient.on_message of <modules.binance_futures.BinanceFuturesClient object at 0x00000218C864AB80>>: 'dict' object is not callable
2024-05-01 13:30:34,888 ERROR	 :: Binance websocket connection error 'dict' object is not callable
2024-05-01 13:30:34,918 ERROR	 :: error from callback <bound method BinanceFuturesClient.on_message of <modules.binance_futures.BinanceFuturesClient object at 0x00000218C864AB80>>: 'dict' object is not callable
2024-05-01 13:30:34,918 ERROR	 :: Binance websocket connection error 'dict' object is not callable
2024-05-01 13:30:34,944 ERROR	 :: error from callback <bound method BinanceFuturesClient.on_message of <modules.binance_futures.BinanceFuturesClient object at 0x00000218C864AB80>>: 'dict' object is not callable
2024-05-01 13:30:34,944 ERROR	 :: Binance websocket connection error 'dict' object is not callable
2024-05-01 13:30:35,116 ERROR	 :: error from callback <bound method BinanceFuturesClient.on_message of <modules.binance_futures.BinanceFuturesClient object at 0x00000218C864AB80>>: 'dict' object is not callable
2024-05-01 13:30:35,117 ERROR	 :: Binance websocket connection error 'dict' object is not callable
2024-05-01 13:30:35,226 ERROR	 :: error from callback <bound method BinanceFuturesClient.on_message of <modules.binance_futures.BinanceFuturesClient object at 0x00000218C864AB80>>: 'dict' object is not callable
2024-05-01 13:30:35,227 ERROR	 :: Binance websocket connection error 'dict' object is not callable
2024-05-01 13:30:36,482 ERROR	 :: error from callback <bound method BinanceFuturesClient.on_message of <modules.binance_futures.BinanceFuturesClient object at 0x00000218C864AB80>>: 'dict' object is not callable
2024-05-01 13:30:36,484 ERROR	 :: Binance websocket connection error 'dict' object is not callable
2024-05-01 13:30:38,376 ERROR	 :: error from callback <bound method BinanceFuturesClient.on_message of <modules.binance_futures.BinanceFuturesClient object at 0x00000218C864AB80>>: 'dict' object is not callable
2024-05-01 13:30:38,376 ERROR	 :: Binance websocket connection error 'dict' object is not callable
2024-05-01 13:30:38,473 ERROR	 :: error from callback <bound method BinanceFuturesClient.on_message of <modules.binance_futures.BinanceFuturesClient object at 0x00000218C864AB80>>: 'dict' object is not callable
2024-05-01 13:30:38,473 ERROR	 :: Binance websocket connection error 'dict' object is not callable
2024-05-01 13:30:38,831 ERROR	 :: error from callback <bound method BinanceFuturesClient.on_message of <modules.binance_futures.BinanceFuturesClient object at 0x00000218C864AB80>>: 'dict' object is not callable
